2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
sh.600874,sh.600961,sh.601111,sh.601169,sh.601328,sh.601607,sh.601699,sh.601857,sh.601998,sh.601991,sz.000002,sh.603160,sh.603260,sh.603156,sh.603899,sh.688009,sz.000001
sh.600875,sh.600997,sh.601166,sh.601186,sh.601333,sh.601618,sh.601717,sh.601866,sh.603000,sh.601992,sz.000008,sh.603799,sh.603288,sh.603160,sh.603986,sh.688012,sz.000002
sh.600879,sh.601001,sh.601168,sh.601318,sh.601390,sh.601628,sh.601718,sh.601888,sh.603288,sh.601998,sz.000009,sh.603833,sh.603799,sh.603259,sh.603993,sh.688036,sz.000063
sh.600881,sh.601002,sh.601169,sh.601328,sh.601398,sh.601666,sh.601766,sh.601898,sh.603699,sh.603000,sz.000027,sh.603858,sh.603833,sh.603260,sh.688008,sh.688111,sz.000066
sh.600884,sh.601006,sh.601318,sh.601333,sh.601588,sh.601668,sh.601788,sh.601899,sh.603993,sh.603288,sz.000039,sh.603993,sh.603858,sh.603288,sh.688009,sh.688126,sz.000069
sh.600886,sh.601088,sh.601328,sh.601390,sh.601600,sh.601688,sh.601808,sh.601901,sz.000001,sh.603885,sz.000060,sz.000001,sh.603986,sh.603501,sh.688012,sh.688169,sz.000100
sh.600887,sh.601111,sh.601333,sh.601398,sh.601601,sh.601699,sh.601818,sh.601918,sz.000002,sh.603993,sz.000061,sz.000002,sh.603993,sh.603799,sh.688036,sh.688363,sz.000157
sh.600894,sh.601166,sh.601390,sh.601588,sh.601607,sh.601717,sh.601857,sh.601928,sz.000009,sz.000001,sz.000063,sz.000008,sz.000001,sh.603833,sz.000001,sh.688396,sz.000166
sh.600895,sh.601318,sh.601398,sh.601600,sh.601618,sh.601718,sh.601866,sh.601933,sz.000024,sz.000002,sz.000069,sz.000060,sz.000002,sh.603899,sz.000002,sz.000001,sz.000301
sh.600900,sh.601328,sh.601588,sh.601601,sh.601628,sh.601727,sh.601888,sh.601939,sz.000027,sz.000009,sz.000100,sz.000063,sz.000063,sh.603986,sz.000063,sz.000002,sz.000333
sh.600970,sh.601333,sh.601600,sh.601628,sh.601666,sh.601766,sh.601898,sh.601958,sz.000039,sz.000024,sz.000156,sz.000069,sz.000069,sh.603993,sz.000066,sz.000063,sz.000338
sh.600997,sh.601398,sh.601601,sh.601666,sh.601668,sh.601788,sh.601899,sh.601988,sz.000060,sz.000027,sz.000157,sz.000100,sz.000100,sz.000001,sz.000069,sz.000066,sz.000408
sh.601006,sh.601588,sh.601628,sh.601699,sh.601688,sh.601808,sh.601901,sh.601989,sz.000061,sz.000039,sz.000166,sz.000157,sz.000157,sz.000002,sz.000100,sz.000069,sz.000425
sh.601398,sh.601600,sh.601666,sh.601727,sh.601699,sh.601818,sh.601918,sh.601991,sz.000063,sz.000046,sz.000333,sz.000166,sz.000166,sz.000063,sz.000157,sz.000100,sz.000538
sh.601607,sh.601607,sh.601699,sh.601766,sh.601727,sh.601857,sh.601919,sh.601992,sz.000069,sz.000060,sz.000338,sz.000333,sz.000333,sz.000069,sz.000166,sz.000157,sz.000568
