,10_20,10_30,10_60,5_20,5_30,5_60
2017-04-05,0.00015305957721664675,1.3213624306078165e-05,-0.0014062562016240567,0.0004243295454165507,0.0011979900758954574,-9.131855640073971e-05
2017-04-06,0.00025380874507795886,-0.00010201278792131862,-0.0001441333644870232,0.000344967797243888,0.00010461455010085964,-8.604067771548353e-05
2017-04-07,7.616580751654628e-06,-2.1350213311891466e-05,0.00017824239632343406,-0.0020594836734214896,0.0017736937278404385,0.0003402160351087441
2017-04-10,0.0007100395686350041,0.00036846853639983877,-1.4859063519820969e-05,0.0007267759818652992,-0.00413308966887199,-6.781939151371425e-05
2017-04-11,9.940375593857513e-05,6.358739322342129e-05,0.0002969762932616864,0.00010590023214889619,0.0001017452908948257,-0.0019146659279242956
2017-04-12,0.0004519955252500248,-0.00016367754384883127,0.0003311997370325577,0.000512958941296451,1.1709259642127133e-05,-0.0006565382269945673
2017-04-13,3.95532460958834e-06,0.00037331748250897984,6.948895314501957e-05,0.0008542799386560938,0.00037813743987798144,-2.149924059017847e-05
2017-04-14,-0.003056933454246333,0.0003064732779991578,-0.00017073946689962502,-1.3657348004277395e-05,-3.745048156050562e-05,7.74796239118358e-05
2017-04-17,-6.289060610352462e-05,-4.811353065639217e-05,-9.808863906629852e-06,0.0020770787178546503,0.00019451198840728562,-0.00010320074044239127
2017-04-18,2.690366855836436e-05,-1.9036031777071096e-05,0.0,-6.5085365751124595e-06,-0.00034496953985791,1.4896093454424938e-05
2017-04-19,-0.00021065305888930334,-0.004125999988203224,-0.0008470532243106301,0.0027808647161459976,0.00018680308466403756,-0.0006917946175384248
2017-04-20,0.0012212016506949394,0.00039419270892757005,-3.584514513520205e-05,0.00015847011439470786,0.0010670912293199494,4.4128179988860454e-07
2017-04-21,0.0003342902493759333,-3.7908842582232464e-06,-0.00249264508324727,-0.0003936026673685433,-0.0005873686171952102,-0.00029565441386327824
2017-04-24,-7.432780188279178e-05,8.539123470349425e-05,0.0019944014171701134,0.00034719575727337363,2.839375479808853e-05,-0.0009856697343281974
2017-04-25,-0.0005670498115120529,4.583271149280403e-05,-0.00012282883968683367,-0.0018163314185546228,-0.00017873103507807172,-0.00026357397457240115
2017-04-26,-0.0010826388131141328,0.00016892327416652417,-0.00046915575553808963,-0.00040401574335894344,0.0001782223746839214,-0.0006271869361937807
2017-04-27,-0.00030601994328702297,-0.00023274206042066936,0.0002070376262099195,-0.000750494739093888,-0.00045903325383473694,-0.00018511109996027368
2017-04-28,-0.0002668221444235056,-5.612562159687392e-05,-0.0013178974464836076,-0.00040770394346767387,-0.0009416873659514595,0.00016658767465820717
2017-05-02,-0.0007668571849253543,-0.0004105948151239706,-0.00012477185685726825,0.0017407824916246752,-0.0002953841918082111,-0.0002629121877454169
2017-05-03,-0.0004098160195483522,-0.0003524653103425864,-0.0008383999727007705,-0.0004162158511142168,0.0009305561130736918,0.00022736090396521065
2017-05-04,-0.0011279815244812214,-0.00039149299485487395,-1.0354060409181417e-05,-0.00022214812319407417,-0.0001902591612379224,0.0011280948111924355
2017-05-05,-0.0003123704319521331,0.0007031175161564404,-0.0004877836788769492,0.0007192731817639,-0.0003984845184477554,-0.00023314708300767586
2017-05-08,-0.0007480206171209207,-0.0011213883074808367,-0.0005600781998847978,0.002355628218928876,-2.178115523714644e-05,0.00012041755205640334
2017-05-09,0.0008924574988317556,-0.00047763032527639273,-0.0004125965141183792,-1.5900135740177065e-06,0.002650086802969135,0.00011128927399846591
2017-05-10,-0.00032996150624711783,-9.279667106833485e-05,-0.00041185491643334145,8.135521258245095e-05,0.0022407587142745595,-0.0008422217667652359
2017-05-11,-0.00019769088599455684,-2.3158969537697926e-05,-0.0002599474206192872,0.0005209690692289798,-0.00022640282936911983,-1.6421906565187843e-05
2017-05-12,0.0009048171462610942,-3.466258154797978e-05,1.636028458673936e-05,0.022015190509265023,0.0007066213789934655,0.0013985986812507982
2017-05-15,0.0010402680388559645,8.421369778888882e-05,0.00012378030645314559,-0.00023465948570555593,0.0013101074424677435,-2.9843824709662316e-05
2017-05-16,-0.00011992119338680056,0.0026664751590463115,-0.0001582720394756999,0.0002597537752642094,0.00039060267429638423,0.0002180562831034796
2017-05-17,0.00284968802318787,-2.6693076730973406e-05,-0.00020405900768143964,-8.674581578775886e-05,-3.1163730800154434e-05,-7.712727082929044e-06
2017-05-18,-1.6594830014553554e-06,0.0001174033000670282,0.0020559383047895094,0.0,4.803439385082994e-07,1.720958578460382e-05
2017-05-19,0.002446337888598913,-3.135922131075535e-05,-0.00010173689576531872,0.0,1.908897762974191e-07,-5.9337316473763284e-05
2017-05-22,0.026561972437764703,0.0027457952984890305,0.0,-0.0001634370767498084,0.0,-6.432389499627338e-05
2017-05-23,1.0317825655828666e-05,0.00041225613934021965,0.0011602049799572416,-4.334759677780998e-06,0.0,0.0
2017-05-24,-0.00032915514090325833,-1.311787007694456e-05,-2.4545628462754642e-05,0.0,3.19356482349992e-05,-3.4059620717545457e-06
2017-05-25,0.0,0.0,0.0,0.00018825858554747036,0.0,0.0
2017-05-26,0.0001872658019425056,7.2185784000963155e-06,1.678205313573015e-05,4.5599196985420626e-05,-0.00016403554190388882,-2.1303929257781874e-05
